E1111 02:34:09.489313  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 10: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.529577  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 13: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.537659  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 13: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.567992  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 16: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.576925  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 16: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.613275  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 19: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.626520  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 19: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.664711  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 22: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.686687  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 22: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.755274  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 25: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.768973  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 25: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.825647  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 28: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.835044  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 28: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.857828  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 31: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.869963  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 31: dial tcp 192.168.32.2:9094: connect: connection refused
